"site","elevation"
"Unity Pond",52.8
"Chute River",72.03
"Moosehead Lake",NA
"Meduxnekeag Lake",147.61
"Saco Lake",NA
"Eaglewatch Lake",1632.72
"Fraser",2613.62
"Grand Lake",NA
"Wilcox Pond",5.29
"Center Springs Pond",43.34
"West Thompson Reservoir",93.32
"Monponsett Pond",15.61
"Cranberry Bog",NA
"Lake Whalom",155.81
"Canterbury Pond",128.14
"Benedict Pond",481.36
"Pontoosuc Lake",NA
"Pelham Lake",427.99
"Horn Pond",12.46
"Owen Park",649.96
"Lake Wilson",34.81
"Gilly's Park",NA
"Courthouse Park",NA
"Pinchot Lake",NA
"Hillside Park",NA
"Goodyear Lake",350.65
"Ochsner Pond",215.51
"Pymatuning Reservoir",307.07
"Edinboro Lake",364.64
"Birch Run Pond",428.64
"Sacandaga Lake",NA
"Lake Temiscouata",148.86
"Lake Champlain",29.57
