sep=	
Culture:	en-US
Date pattern short:	M/d/yyyy
Time pattern long:	h:mm:ss tt
Decimal separator:	.
Software version:	1.2.1

File location:	C:\Users\Matthew_Sasaki\Desktop\SDR 1387_272026_35606 PM.csv
File creation time:	2/7/2026 3:56:32 PM
SDR name:	SDR-1387
Serial number	SEBX0009001387
MUX channel	ON - 02

PARAMETERS
Sig LED current	065
Ref LED current	070
Frequency	060
Sending interval	0000
Pulse lenght	06
Red REF comp.	ON
Temperature comp.	ON

FIRMWARE
ver.4.039.A3.ST	04/30/07, 09:14:36

SETTINGS
Barometric pressure [hPa]:	1013.25
Is air breather:	False
Salinity [‰]:	0.00
Temperature [°C]:	20.00
Set individual organisms per chamber:	False
Organisms per chamber:	1
Chamber volume [µL]:	500.00
Oxygen unit:	AirSaturation

TREATMENTS
ID	Name	Color
X	Not set	#000e0ebe
0	Blank	#ff000000
1	Centennial Park	#ff9bbb59
2	Ochsner Pond	#fff79646

CALIBRATION
Wells	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6
Phase low [°]:	53.94	53.94	53.94	53.94	53.94	53.94	53.94	53.94	53.94	53.94	53.94	53.94	53.94	53.94	53.94	53.94	53.94	53.94	53.94	53.94	53.94	53.94	53.94	53.94
Phase high [°]:	46.67	46.67	46.67	46.67	46.67	46.67	46.67	46.67	46.67	46.67	46.67	46.67	46.67	46.67	46.67	46.67	46.67	46.67	46.67	46.67	46.67	46.67	46.67	46.67
Temp. low [°C]:	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10
Temp. high [°C]:	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10	25.10
Treatment ID	2	0	1	2	X	X	2	0	1	0	X	X	0	2	0	0	X	X	1	1	2	1	X	X
Normalization factor	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Organisms	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1


Date [DD-MM-YYYY]	Time [hh:mm:ss]	Time stamp	Relative time [hh:mm:ss]	A1 [Phase]	A2 [Phase]	A3 [Phase]	A4 [Phase]	A5 [Phase]	A6 [Phase]	B1 [Phase]	B2 [Phase]	B3 [Phase]	B4 [Phase]	B5 [Phase]	B6 [Phase]	C1 [Phase]	C2 [Phase]	C3 [Phase]	C4 [Phase]	C5 [Phase]	C6 [Phase]	D1 [Phase]	D2 [Phase]	D3 [Phase]	D4 [Phase]	D5 [Phase]	D6 [Phase]	A1 [Amplitude]	A2 [Amplitude]	A3 [Amplitude]	A4 [Amplitude]	A5 [Amplitude]	A6 [Amplitude]	B1 [Amplitude]	B2 [Amplitude]	B3 [Amplitude]	B4 [Amplitude]	B5 [Amplitude]	B6 [Amplitude]	C1 [Amplitude]	C2 [Amplitude]	C3 [Amplitude]	C4 [Amplitude]	C5 [Amplitude]	C6 [Amplitude]	D1 [Amplitude]	D2 [Amplitude]	D3 [Amplitude]	D4 [Amplitude]	D5 [Amplitude]	D6 [Amplitude]	A1 [Oxygen]	A2 [Oxygen]	A3 [Oxygen]	A4 [Oxygen]	A5 [Oxygen]	A6 [Oxygen]	B1 [Oxygen]	B2 [Oxygen]	B3 [Oxygen]	B4 [Oxygen]	B5 [Oxygen]	B6 [Oxygen]	C1 [Oxygen]	C2 [Oxygen]	C3 [Oxygen]	C4 [Oxygen]	C5 [Oxygen]	C6 [Oxygen]	D1 [Oxygen]	D2 [Oxygen]	D3 [Oxygen]	D4 [Oxygen]	D5 [Oxygen]	D6 [Oxygen]
2/7/2026	3:56:26 PM	134149713861880520	0:00:00	47.97	47.74	47.77	47.72	47.85	48.07	47.83	47.66	47.66	47.79	47.94	48.13	47.70	47.79	47.70	47.76	47.67	47.91	47.73	47.81	47.67	47.69	48.04	47.80	84808	80492	83803	79215	79485	82626	77355	79276	79211	82015	78790	81474	71480	81403	78505	77039	70911	71687	69992	69704	71182	68001	64827	68548	93.5	97.3	96.8	97.6	95.4	91.9	95.8	98.6	98.6	96.4	94.0	90.9	97.9	96.4	97.9	96.9	98.4	94.5	97.4	96.1	98.4	98.1	92.4	96.3
2/7/2026	3:56:56 PM	134149714161883403	0:00:30	47.97	47.73	47.76	47.71	47.86	48.05	47.83	47.65	47.66	47.78	47.94	48.14	47.69	47.78	47.71	47.76	47.66	47.91	47.73	47.80	47.67	47.69	48.05	47.81	84802	80480	83846	79257	79457	82665	77355	79273	79231	81978	78781	81429	71625	81439	78444	77008	70940	71725	70161	69770	71436	68096	65021	68761	93.5	97.4	96.9	97.7	95.3	92.2	95.8	98.7	98.6	96.6	94.0	90.7	98.1	96.6	97.7	96.9	98.6	94.5	97.4	96.3	98.4	98.1	92.2	96.1
2/7/2026	3:57:26 PM	134149714461889647	0:01:00	47.97	47.73	47.77	47.72	47.86	48.06	47.83	47.65	47.65	47.79	47.93	48.14	47.69	47.78	47.70	47.77	47.67	47.90	47.75	47.80	47.67	47.68	48.04	47.81	84803	80336	84107	79136	79531	82657	77285	79273	79135	82035	78934	81611	71531	81507	78343	77078	71000	71587	70116	69833	71247	68069	64793	68718	93.5	97.4	96.8	97.6	95.3	92.0	95.8	98.7	98.7	96.4	94.1	90.7	98.1	96.6	97.9	96.8	98.4	94.6	97.1	96.3	98.4	98.2	92.4	96.1
2/7/2026	3:57:56 PM	134149714761899552	0:01:30	47.97	47.73	47.76	47.71	47.86	48.06	47.82	47.65	47.65	47.78	47.93	48.13	47.69	47.78	47.71	47.76	47.66	47.90	47.73	47.82	47.66	47.69	48.03	47.81	84819	80449	84056	79181	79457	82660	77298	79330	79273	81938	78730	81392	71438	81454	78518	76891	71008	71715	70142	69835	71201	67994	64855	68727	93.5	97.4	96.9	97.7	95.3	92.0	95.9	98.7	98.7	96.6	94.1	90.9	98.1	96.6	97.7	96.9	98.6	94.6	97.4	95.9	98.6	98.1	92.5	96.1
2/7/2026	3:58:26 PM	134149715061903020	0:02:00	47.96	47.74	47.77	47.71	47.84	48.05	47.82	47.64	47.66	47.78	47.93	48.13	47.68	47.78	47.70	47.75	47.66	47.90	47.73	47.80	47.68	47.69	48.04	47.81	84836	80433	83951	79217	79420	82637	77485	79352	79257	81978	78855	81381	71418	81197	78474	77036	70825	71616	70135	69836	71158	68081	64822	68663	93.7	97.3	96.8	97.7	95.6	92.2	95.9	98.9	98.6	96.6	94.1	90.9	98.2	96.6	97.9	97.1	98.6	94.6	97.4	96.3	98.2	98.1	92.4	96.1
2/7/2026	3:58:56 PM	134149715361913400	0:02:30	47.97	47.73	47.77	47.71	47.84	48.05	47.82	47.64	47.65	47.78	47.93	48.12	47.68	47.77	47.70	47.76	47.66	47.90	47.73	47.80	47.66	47.69	48.03	47.81	84794	80353	83932	79110	79383	82606	77327	79205	79172	81944	78744	81372	71500	81336	78609	77054	70817	71702	70064	69727	71316	68076	64726	68670	93.5	97.4	96.8	97.7	95.6	92.2	95.9	98.9	98.7	96.6	94.1	91.1	98.2	96.8	97.9	96.9	98.6	94.6	97.4	96.3	98.6	98.1	92.5	96.1
2/7/2026	3:59:26 PM	134149715661918194	0:03:00	47.96	47.72	47.76	47.70	47.84	48.05	47.81	47.64	47.65	47.77	47.92	48.12	47.68	47.78	47.70	47.75	47.66	47.89	47.73	47.79	47.66	47.68	48.02	47.80	84811	80407	83758	79198	79525	82631	77579	79404	79248	82000	78792	81463	71592	81341	78619	76880	70952	71652	70254	69677	71363	68143	64846	68549	93.7	97.6	96.9	97.9	95.6	92.2	96.1	98.9	98.7	96.8	94.3	91.1	98.2	96.6	97.9	97.1	98.6	94.8	97.4	96.4	98.6	98.2	92.7	96.3
2/7/2026	3:59:56 PM	134149715961936077	0:03:30	47.98	47.74	47.78	47.71	47.85	48.05	47.84	47.65	47.66	47.79	47.94	48.14	47.69	47.78	47.72	47.76	47.67	47.91	47.75	47.81	47.67	47.69	48.04	47.83	84814	80370	83875	79232	79488	82648	77341	79423	79197	81938	78792	81463	71568	81313	78465	76979	70960	71581	70203	69701	71248	67953	64797	68637	93.3	97.3	96.6	97.7	95.4	92.2	95.6	98.7	98.6	96.4	94.0	90.7	98.1	96.6	97.6	96.9	98.4	94.5	97.1	96.1	98.4	98.1	92.4	95.8
2/7/2026	4:00:26 PM	134149716261932761	0:04:00	47.97	47.73	47.77	47.71	47.84	48.05	47.83	47.64	47.65	47.77	47.93	48.12	47.67	47.78	47.70	47.76	47.67	47.90	47.74	47.81	47.67	47.68	48.02	47.81	84797	80623	83894	79198	79530	82642	77540	79403	79296	82000	78818	81482	71611	81305	78695	76863	70947	71673	70203	69734	71375	68017	64914	68524	93.5	97.4	96.8	97.7	95.6	92.2	95.8	98.9	98.7	96.8	94.1	91.1	98.4	96.6	97.9	96.9	98.4	94.6	97.3	96.1	98.4	98.2	92.7	96.1
2/7/2026	4:00:56 PM	134149716561937270	0:04:30	47.97	47.74	47.78	47.70	47.85	48.05	47.83	47.64	47.66	47.78	47.93	48.13	47.67	47.78	47.71	47.76	47.66	47.91	47.73	47.80	47.67	47.69	48.04	47.80	84823	80631	83818	79337	79576	82651	77611	79432	79288	82035	78812	81483	71579	81351	78633	76908	71000	71611	70228	69734	71318	68131	64971	68649	93.5	97.3	96.6	97.9	95.4	92.2	95.8	98.9	98.6	96.6	94.1	90.9	98.4	96.6	97.7	96.9	98.6	94.5	97.4	96.3	98.4	98.1	92.4	96.3
