sep=	
Culture:	en-US
Date pattern short:	M/d/yyyy
Time pattern long:	h:mm:ss tt
Decimal separator:	.
Software version:	1.2.1

File location:	C:\Users\Matthew_Sasaki\OneDrive - UMass Lowell\Lab Admin\Loligo_resp\Respiration Data\2026_02_08_22C_spallidus.csv
File creation time:	2/8/2026 1:23:20 PM
SDR name:	SDR-1386
Serial number	SEBX0009001386
MUX channel	ON - 01

PARAMETERS
Sig LED current	065
Ref LED current	085
Frequency	060
Sending interval	0000
Pulse lenght	06
Red REF comp.	ON
Temperature comp.	ON

FIRMWARE
ver.4.039.A3.ST	04/30/07, 09:14:36

SETTINGS
Barometric pressure [hPa]:	1013.25
Is air breather:	False
Salinity [‰]:	0.00
Temperature [°C]:	22.00
Set individual organisms per chamber:	False
Organisms per chamber:	1
Chamber volume [µL]:	500.00
Oxygen unit:	AirSaturation

TREATMENTS
ID	Name	Color
X	Not set	#000e0ebe
0	Blank	#ff000000
1	Centennial Park	#ff9bbb59
2	Ochsner Pond	#fff79646

CALIBRATION
Wells	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6
Phase low [°]:	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05
Phase high [°]:	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77
Temp. low [°C]:	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60
Temp. high [°C]:	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60
Treatment ID	1	0	2	2	X	X	2	1	0	0	X	X	0	0	1	1	X	X	1	2	0	2	X	X
Normalization factor	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Organisms	1	0	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1


Date [DD-MM-YYYY]	Time [hh:mm:ss]	Time stamp	Relative time [hh:mm:ss]	A1 [Phase]	A2 [Phase]	A3 [Phase]	A4 [Phase]	A5 [Phase]	A6 [Phase]	B1 [Phase]	B2 [Phase]	B3 [Phase]	B4 [Phase]	B5 [Phase]	B6 [Phase]	C1 [Phase]	C2 [Phase]	C3 [Phase]	C4 [Phase]	C5 [Phase]	C6 [Phase]	D1 [Phase]	D2 [Phase]	D3 [Phase]	D4 [Phase]	D5 [Phase]	D6 [Phase]	A1 [Amplitude]	A2 [Amplitude]	A3 [Amplitude]	A4 [Amplitude]	A5 [Amplitude]	A6 [Amplitude]	B1 [Amplitude]	B2 [Amplitude]	B3 [Amplitude]	B4 [Amplitude]	B5 [Amplitude]	B6 [Amplitude]	C1 [Amplitude]	C2 [Amplitude]	C3 [Amplitude]	C4 [Amplitude]	C5 [Amplitude]	C6 [Amplitude]	D1 [Amplitude]	D2 [Amplitude]	D3 [Amplitude]	D4 [Amplitude]	D5 [Amplitude]	D6 [Amplitude]	A1 [Oxygen]	A2 [Oxygen]	A3 [Oxygen]	A4 [Oxygen]	A5 [Oxygen]	A6 [Oxygen]	B1 [Oxygen]	B2 [Oxygen]	B3 [Oxygen]	B4 [Oxygen]	B5 [Oxygen]	B6 [Oxygen]	C1 [Oxygen]	C2 [Oxygen]	C3 [Oxygen]	C4 [Oxygen]	C5 [Oxygen]	C6 [Oxygen]	D1 [Oxygen]	D2 [Oxygen]	D3 [Oxygen]	D4 [Oxygen]	D5 [Oxygen]	D6 [Oxygen]
2/8/2026	1:23:13 PM	134150485932789768	0:00:00	47.50	47.23	47.35	47.31	47.48	47.35	47.17	47.13	47.01	47.04	47.43	47.24	47.02	47.02	47.11	47.15	47.44	47.26	47.17	47.20	47.21	47.19	47.40	47.41	87213	76764	79381	76956	71666	76825	66159	66851	64299	78971	74407	73238	69931	72099	70030	73640	75071	75542	55697	68765	66474	68006	67863	69988	95.6	100.0	98.1	98.7	96.0	98.1	101.0	101.6	103.6	103.1	96.8	99.8	103.4	103.4	102.0	101.3	96.6	99.5	101.0	100.5	100.3	100.6	97.2	97.1
2/8/2026	1:23:43 PM	134150486232801127	0:00:30	47.52	47.24	47.34	47.32	47.48	47.35	47.18	47.14	47.02	47.05	47.42	47.24	47.05	47.02	47.11	47.16	47.44	47.26	47.17	47.21	47.22	47.19	47.40	47.40	87291	76730	79411	76953	71706	76952	66060	66957	64342	78968	74438	73275	69931	72127	70155	73569	75171	75774	55797	68735	66659	68041	67904	70048	95.3	99.8	98.2	98.5	96.0	98.1	100.8	101.5	103.4	102.9	96.9	99.8	102.9	103.4	102.0	101.1	96.6	99.5	101.0	100.3	100.2	100.6	97.2	97.2
2/8/2026	1:24:13 PM	134150486532813869	0:01:00	47.51	47.24	47.35	47.31	47.48	47.36	47.18	47.15	47.02	47.05	47.43	47.26	47.02	47.02	47.12	47.17	47.44	47.27	47.17	47.22	47.20	47.19	47.40	47.41	87188	76769	79375	77015	71774	76859	66224	66968	64316	79022	74501	73272	69957	72286	70140	73579	75083	75935	55772	68969	66465	67876	67830	70191	95.5	99.8	98.1	98.7	96.0	97.9	100.8	101.3	103.4	102.9	96.8	99.5	103.4	103.4	101.8	101.0	96.6	99.4	101.0	100.2	100.5	100.6	97.2	97.1
2/8/2026	1:24:43 PM	134150486832824018	0:01:30	47.51	47.25	47.35	47.31	47.48	47.34	47.17	47.13	47.03	47.05	47.43	47.24	47.03	47.02	47.14	47.18	47.44	47.25	47.16	47.21	47.20	47.20	47.40	47.40	87271	76841	79378	76987	71788	76941	66213	66903	64365	79082	74455	73235	69847	72275	70175	73769	75349	75842	55748	68851	66476	67985	67765	70044	95.5	99.7	98.1	98.7	96.0	98.2	101.0	101.6	103.3	102.9	96.8	99.8	103.3	103.4	101.5	100.8	96.6	99.7	101.1	100.3	100.5	100.5	97.2	97.2
2/8/2026	1:25:13 PM	134150487132830841	0:02:00	47.52	47.24	47.35	47.32	47.48	47.35	47.20	47.14	47.02	47.05	47.43	47.26	47.04	47.03	47.14	47.19	47.44	47.28	47.17	47.21	47.21	47.21	47.40	47.40	87333	76738	79409	77035	71757	76811	66222	66928	64336	79008	74413	73227	70019	72442	70154	73865	75288	75699	55771	69027	66590	68070	67928	70121	95.3	99.8	98.1	98.5	96.0	98.1	100.5	101.5	103.4	102.9	96.8	99.5	103.1	103.3	101.5	100.6	96.6	99.2	101.0	100.3	100.3	100.3	97.2	97.2
2/8/2026	1:25:43 PM	134150487432844075	0:02:30	47.52	47.24	47.37	47.32	47.49	47.36	47.19	47.16	47.03	47.06	47.44	47.26	47.05	47.02	47.14	47.18	47.45	47.27	47.18	47.22	47.21	47.21	47.40	47.41	87132	76801	79435	77029	71701	77009	66137	66983	64288	79048	74436	73210	69906	72275	70214	73698	75158	75814	55746	68988	66663	68055	67900	70214	95.3	99.8	97.7	98.5	95.8	97.9	100.6	101.1	103.3	102.8	96.6	99.5	102.9	103.4	101.5	100.8	96.4	99.4	100.8	100.2	100.3	100.3	97.2	97.1
2/8/2026	1:26:13 PM	134150487732843020	0:03:00	47.53	47.23	47.37	47.32	47.49	47.35	47.19	47.15	47.04	47.06	47.43	47.26	47.04	47.03	47.14	47.18	47.44	47.27	47.17	47.22	47.21	47.22	47.40	47.41	87322	76783	79404	77078	71945	77250	66193	67011	64337	79051	74481	73301	69924	72339	70225	73749	75220	75932	55737	68834	66661	68194	68008	70233	95.2	100.0	97.7	98.5	95.8	98.1	100.6	101.3	103.1	102.8	96.8	99.5	103.1	103.3	101.5	100.8	96.6	99.4	101.0	100.2	100.3	100.2	97.2	97.1
2/8/2026	1:26:43 PM	134150488032867692	0:03:30	47.52	47.25	47.37	47.32	47.49	47.35	47.19	47.16	47.02	47.06	47.43	47.26	47.04	47.02	47.15	47.18	47.44	47.27	47.17	47.22	47.21	47.21	47.41	47.41	87368	76883	79396	77038	71845	77063	66225	66943	64322	79065	74560	73326	69914	72290	70170	73695	75243	75892	55774	68743	66627	68084	67929	70138	95.3	99.7	97.7	98.5	95.8	98.1	100.6	101.1	103.4	102.8	96.8	99.5	103.1	103.4	101.3	100.8	96.6	99.4	101.0	100.2	100.3	100.3	97.1	97.1
2/8/2026	1:27:13 PM	134150488332868502	0:04:00	47.52	47.24	47.37	47.32	47.48	47.35	47.18	47.15	47.03	47.05	47.43	47.27	47.04	47.02	47.13	47.17	47.44	47.27	47.17	47.21	47.20	47.20	47.39	47.41	87442	76772	79399	77155	71695	76927	66227	67048	64354	79070	74487	73242	69935	72151	70148	73667	75210	75784	55678	68975	66592	68075	67853	70124	95.3	99.8	97.7	98.5	96.0	98.1	100.8	101.3	103.3	102.9	96.8	99.4	103.1	103.4	101.6	101.0	96.6	99.4	101.0	100.3	100.5	100.5	97.4	97.1
2/8/2026	1:27:43 PM	134150488632872820	0:04:30	47.53	47.25	47.38	47.32	47.48	47.36	47.19	47.16	47.03	47.07	47.44	47.26	47.05	47.04	47.14	47.19	47.44	47.28	47.17	47.24	47.22	47.22	47.40	47.41	87470	76767	79300	77149	71689	76938	66270	66966	64320	79068	74490	73309	69873	72195	70150	73828	75112	75757	55686	68909	66666	67994	67823	70160	95.2	99.7	97.6	98.5	96.0	97.9	100.6	101.1	103.3	102.6	96.6	99.5	102.9	103.1	101.5	100.6	96.6	99.2	101.0	99.8	100.2	100.2	97.2	97.1
