collection_date,site,replicate,tube,species,id_method,sample_id,ctmax_minute,ctmax_second,fecundity,size
7/17/24,Grand Lake,1,1,GL_1,morphological,GL1_1,52,49,,
7/17/24,Grand Lake,1,2,GL_1,morphological,GL1_2,57,18,,
7/17/24,Grand Lake,1,3,GL_1,morphological,GL1_3,57,25,,
7/17/24,Grand Lake,1,4,GL_1,morphological,GL1_4,59,44,,
7/17/24,Grand Lake,1,5,GL_1,morphological,GL1_5,58,36,26,
7/17/24,Grand Lake,1,6,GL_1,morphological,GL1_6,51,41,,
7/17/24,Grand Lake,1,7,GL_1,morphological,GL1_7,57,40,34,
7/17/24,Grand Lake,1,8,GL_1,morphological,GL1_8,57,50,29,
7/17/24,Grand Lake,1,9,GL_1,morphological,GL1_9,45,52,24,
7/17/24,Grand Lake,1,10,GL_1,morphological,GL1_10,59,57,20,
