collection_date,site,replicate,tube,species,id_method,sample_id,ctmax_minute,ctmax_second,fecundity,size,egg_1,egg_2,egg_3,time,rank,ctmax
8/13/2023,Mormon Island,1,1,skistodiaptomus_pallidus,genetic,,50,15,,0.979,,,,48.25,4,37.765625
8/13/2023,Mormon Island,1,2,skistodiaptomus_pallidus,genetic,,59,19,,0.889,,,,57.31666667,1,39.08333333
8/13/2023,Mormon Island,1,3,skistodiaptomus_pallidus,genetic,,49,39,,0.932,,,,47.65,6,37.66666667
8/13/2023,Mormon Island,1,4,skistodiaptomus_pallidus,genetic,,55,2,,0.943,,,,53.03333333,2,38.47916667
8/13/2023,Mormon Island,1,5,skistodiaptomus_pallidus,genetic,,48,51,,0.871,,,,46.85,8,37.55
8/13/2023,Mormon Island,1,6,skistodiaptomus_pallidus,genetic,,51,33,,0.892,,,,49.55,3,37.97916667
8/13/2023,Mormon Island,1,7,skistodiaptomus_pallidus,genetic,,22,25,,0.862,,,,20.41666667,10,33.37121212
8/13/2023,Mormon Island,1,8,skistodiaptomus_pallidus,genetic,,49,13,,0.922,,,,47.21666667,7,37.6015625
8/13/2023,Mormon Island,1,9,skistodiaptomus_pallidus,genetic,,49,58,,0.828,,,,47.96666667,5,37.72222222
8/13/2023,Mormon Island,1,10,skistodiaptomus_pallidus,genetic,,48,2,,0.913,,,,46.03333333,9,37.4280303
8/14/2023,Lake MacBride,1,1,skistodiaptomus_pallidus,genetic,,18,45,,0.903,,,,16.75,6,37.60714286
8/14/2023,Lake MacBride,1,2,skistodiaptomus_pallidus,genetic,,17,56,,0.952,,,,15.93333333,7,37.46296296
8/14/2023,Lake MacBride,1,3,skistodiaptomus_pallidus,genetic,,17,1,,0.749,,,,15.01666667,8,37.27916667
8/14/2023,Lake MacBride,1,4,skistodiaptomus_pallidus,genetic,,19,13,,0.932,,,,17.21666667,5,37.71527778
8/14/2023,Lake MacBride,1,5,skistodiaptomus_pallidus,genetic,,10,42,,0.773,,,,8.7,10,36.09895833
8/14/2023,Lake MacBride,1,6,skistodiaptomus_pallidus,genetic,,22,42,,0.979,,,,20.7,1,38.375
8/14/2023,Lake MacBride,1,7,skistodiaptomus_pallidus,genetic,,19,46,,1.008,,,,17.76666667,4,37.82083333
8/14/2023,Lake MacBride,1,8,skistodiaptomus_pallidus,genetic,,22,34,,0.9,,,,20.56666667,2,38.34375
8/14/2023,Lake MacBride,1,9,skistodiaptomus_pallidus,genetic,,21,59,,0.917,,,,19.98333333,3,38.20833333
8/14/2023,Lake MacBride,1,10,skistodiaptomus_pallidus,genetic,,12,2,,0.836,,,,10.03333333,9,36.36174242
8/15/2023,Lake Erie,1,1,skistodiaptomus_oregonensis,genetic,,41,32,,0.945,,,,39.53333333,8,33.8375
8/15/2023,Lake Erie,1,2,skistodiaptomus_oregonensis,genetic,,38,51,,0.934,,,,36.85,10,33.28125
8/15/2023,Lake Erie,1,3,skistodiaptomus_oregonensis,genetic,,43,56,,0.993,,,,41.93333333,5,34.34722222
8/15/2023,Lake Erie,1,4,skistodiaptomus_oregonensis,genetic,,42,21,,0.922,,,,40.35,7,34.00462963
8/15/2023,Lake Erie,1,5,skistodiaptomus_oregonensis,genetic,,44,29,,0.934,,,,42.48333333,4,34.453125
8/15/2023,Lake Erie,1,6,skistodiaptomus_oregonensis,genetic,,44,49,,0.913,,,,42.81666667,3,34.52777778
8/15/2023,Lake Erie,1,7,skistodiaptomus_oregonensis,genetic,,46,11,,0.912,,,,44.18333333,2,34.79861111
8/15/2023,Lake Erie,1,8,skistodiaptomus_oregonensis,genetic,,43,15,,0.798,,,,41.25,6,34.18452381
8/15/2023,Lake Erie,1,9,skistodiaptomus_oregonensis,genetic,,40,44,,0.714,,,,38.73333333,9,33.66041667
8/15/2023,Lake Erie,1,10,skistodiaptomus_oregonensis,genetic,,47,46,,0.87,,,,45.76666667,1,35.10416667
8/16/2023,Sacandaga Lake,1,1,leptodiaptomus_minutus,morphological,,37,3,,0.66,,,,35.05,7,33.1796875
