 ,Angle,Length,Folder,Image,species,sex,stage,Comment,Roi
1,-173.57,1.05,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,10685-02652
2,-99.58,1.15,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,11135-02838
3,0.86,0.99,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,11165-02190
4,-34.11,1.1,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,11319-02767
5,-146.75,1.07,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,14796-02133
6,-74.96,1.02,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,15269-02374
7,-9.06,1.03,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,19420-04510
8,-48.24,1.1,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,16142-05408
9,-171.47,0.89,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,unclear,Grand Lake,14525-05114
10,-49.24,1.13,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,13840-05441
11,17.4,1.03,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,12751-04975
12,-54.09,1.05,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,09572-04115
13,-79.88,0.84,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,08384-03941
14,-126.3,0.89,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,unclear,Grand Lake,08335-04553
15,-49.33,1.24,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,07478-04036
16,-67.38,1.15,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,07585-06694
17,-61.75,1.12,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,17503-05806
18,-123.29,1.18,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,17548-06157
19,-105.95,1.18,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,19112-06775
