 ,Angle,Length,Folder,Image,site,species,sex,stage,Comment,Roi
1,-28,0.98,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pymatuning Reservoir,Skistodiaptomus pallidus,female,adult,,03401-07518
2,-10.42,0.97,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pymatuning Reservoir,Skistodiaptomus pallidus,female,adult,,07669-07022
3,-50.77,0.69,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pymatuning Reservoir,Leptodiaptomus siciloides,female,adult,,12514-05371
4,-102.09,0.94,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pymatuning Reservoir,Skistodiaptomus pallidus,female,adult,,15961-05979
5,-32.01,0.82,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pymatuning Reservoir,Skistodiaptomus pallidus,male,adult,,10285-08121
6,-18.73,0.68,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pymatuning Reservoir,Leptodiaptomus siciloides,female,adult,,09435-08434
7,15.71,0.73,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pymatuning Reservoir,Skistodiaptomus pallidus,male,adult,,06537-10378
8,28.54,0.71,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pymatuning Reservoir,Leptodiaptomus siciloides,male,adult,,09599-09329
9,-14.83,0.77,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pymatuning Reservoir,Leptodiaptomus siciloides,female,adult,,09540-09138
10,32.41,0.82,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pymatuning Reservoir,Leptodiaptomus siciloides,female,adult,,09817-09503
11,-5.55,0.79,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pymatuning Reservoir,Skistodiaptomus pallidus,female,adult,,10976-10038
12,-46.33,1,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pymatuning Reservoir,Skistodiaptomus pallidus,female,adult,,08166-11193
13,-9.9,0.7,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pymatuning Reservoir,Leptodiaptomus siciloides,female,adult,,05354-11327
14,-25.8,0.73,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pymatuning Reservoir,Leptodiaptomus siciloides,female,adult,,02584-10492
15,12.95,0.98,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pymatuning Reservoir,Skistodiaptomus pallidus,female,adult,,06356-12725
16,57.91,0.76,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pymatuning Reservoir,Leptodiaptomus siciloides,female,adult,,11384-16023
17,59.9,0.87,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pymatuning Reservoir,Leptodiaptomus siciloides,female,adult,,11536-15092
18,-81.47,0.88,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Center Springs Pond,Skistodiaptomus pygmaeus,female,adult,,12034-23237
19,67.66,0.86,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Center Springs Pond,Skistodiaptomus pygmaeus,female,adult,,07475-24505
20,-82.5,0.84,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Center Springs Pond,Skistodiaptomus pygmaeus,female,adult,,05084-23917
21,-85.17,0.78,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Center Springs Pond,Skistodiaptomus pygmaeus,female,adult,,04513-25570
22,-139.9,0.81,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Center Springs Pond,Skistodiaptomus pygmaeus,female,adult,,04760-25737
23,-121.4,0.99,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Center Springs Pond,Skistodiaptomus pygmaeus,female,adult,,05911-26097
24,-66.9,0.81,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Center Springs Pond,Skistodiaptomus pygmaeus,female,adult,,07234-26153
25,66.23,1,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Center Springs Pond,Skistodiaptomus pygmaeus,female,adult,,15163-27189
26,128.12,0.9,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Center Springs Pond,Skistodiaptomus pygmaeus,female,adult,,16705-29013
27,110.92,0.8,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Center Springs Pond,Skistodiaptomus pygmaeus,female,adult,,15864-29380
28,24.78,0.94,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Center Springs Pond,Skistodiaptomus pygmaeus,female,adult,,14543-29190
29,143.38,1.01,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Center Springs Pond,Skistodiaptomus pygmaeus,female,adult,,09419-29328
